"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"D3 Double Extra Large","d3.2xlarge","64.0 GiB","8 vCPUs","11880 GB                 (6 * 1980 GB NVMe HDD)","Up to 15 Gigabit","$0.9990 hourly","$0.6290 hourly","$0.2997 hourly","$1.3670 hourly","$0.9970 hourly"
"G5 Graphics and Machine Learning GPU Extra Large","g5.xlarge","16.0 GiB","4 vCPUs","250 GB                 NVMe SSD","Up to 10 Gigabit","$1.0060 hourly","$0.6338 hourly","$0.3018 hourly","$1.1900 hourly","$0.8178 hourly"
"R6I Quadruple Extra Large","r6i.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","$1.0080 hourly","$0.6668 hourly","$0.5026 hourly","$1.7440 hourly","$1.4028 hourly"
"R5 Quadruple Extra Large","r5.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","$1.0080 hourly","$0.6350 hourly","$0.3270 hourly","$1.7440 hourly","$1.3710 hourly"
"R5AD Quadruple Extra Large","r5ad.4xlarge","128.0 GiB","16 vCPUs","600 GB                 (2 * 300 GB NVMe SSD)","Up to 10 Gigabit","$1.0480 hourly","$0.6600 hourly","$0.5181 hourly","$1.7840 hourly","$1.3960 hourly"
"D3EN Double Extra Large","d3en.2xlarge","32.0 GiB","8 vCPUs","55920 GB                 (4 * 13980 GB NVMe HDD)","Up to 25 Gigabit","$1.0510 hourly","$0.6620 hourly","$0.3153 hourly","$1.4190 hourly","$1.0300 hourly"
"R4 High-Memory Quadruple Extra Large","r4.4xlarge","122.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","$1.0640 hourly","$0.6720 hourly","$0.4794 hourly","$1.8000 hourly","$1.4080 hourly"
"M5DN Quadruple Extra Large","m5dn.4xlarge","64.0 GiB","16 vCPUs","600 GB                 (2 * 300 GB NVMe SSD)","Up to 25 Gigabit","$1.0880 hourly","$0.6850 hourly","$0.5204 hourly","$1.8240 hourly","$1.4210 hourly"
"C6G Eight Extra Large","c6g.8xlarge","64.0 GiB","32 vCPUs","EBS only","12 Gigabit","$1.0880 hourly","$0.6854 hourly","$0.5796 hourly","unavailable","unavailable"
"R7GD Quadruple Extra Large","r7gd.4xlarge","128.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 15 Gigabit","$1.0886 hourly","$0.6842 hourly","$0.5108 hourly","unavailable","unavailable"
"M6IN Quadruple Extra Large","m6in.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 50 Gigabit","$1.1138 hourly","$0.7017 hourly","$0.5202 hourly","$1.8498 hourly","$1.4377 hourly"
"Z1D 3xlarge","z1d.3xlarge","96.0 GiB","12 vCPUs","450 GB                 NVMe SSD","Up to 10 Gigabit","$1.1160 hourly","$0.7030 hourly","$0.4552 hourly","$1.6680 hourly","$1.2550 hourly"
"G3 Graphics GPU Quadruple Extra Large","g3.4xlarge","122.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","$1.1400 hourly","$0.7781 hourly","$0.5179 hourly","$1.8760 hourly","$1.5141 hourly"
"R5D Quadruple Extra Large","r5d.4xlarge","128.0 GiB","16 vCPUs","600 GB                 (2 * 300 GB NVMe SSD)","Up to 10 Gigabit","$1.1520 hourly","$0.7260 hourly","$0.5041 hourly","$1.8880 hourly","$1.4620 hourly"
"IS4GEN Double Extra Large","is4gen.2xlarge","48.0 GiB","8 vCPUs","7500 GB                 NVMe SSD","Up to 25 Gigabit","$1.1526 hourly","$0.7861 hourly","$0.3458 hourly","unavailable","unavailable"
"C7G Eight Extra Large","c7g.8xlarge","64.0 GiB","32 vCPUs","EBS only","15 Gigabit","$1.1600 hourly","$0.7644 hourly","$1.0597 hourly","unavailable","unavailable"
"INF1 6xlarge","inf1.6xlarge","48.0 GiB","24 vCPUs","EBS only","25 Gigabit","$1.1800 hourly","$0.7440 hourly","$0.9116 hourly","unavailable","unavailable"
"R5N Quadruple Extra Large","r5n.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 25 Gigabit","$1.1920 hourly","$0.7510 hourly","$0.4944 hourly","$1.9280 hourly","$1.4870 hourly"
"R5B Quadruple Extra Large","r5b.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","$1.1920 hourly","$0.7510 hourly","$0.5159 hourly","$1.9280 hourly","$1.4870 hourly"
"G4DN Quadruple Extra Large","g4dn.4xlarge","64.0 GiB","16 vCPUs","225 GB                 NVMe SSD","Up to 25 Gigabit","$1.2040 hourly","$0.7590 hourly","$0.5839 hourly","$1.9400 hourly","$1.4950 hourly"
"R6ID Quadruple Extra Large","r6id.4xlarge","128.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 12.5 Gigabit","$1.2096 hourly","$0.7602 hourly","$0.5161 hourly","$1.9456 hourly","$1.4962 hourly"
"G5 Graphics and Machine Learning GPU Double Extra Large","g5.2xlarge","32.0 GiB","8 vCPUs","450 GB                 NVMe SSD","Up to 10 Gigabit","$1.2120 hourly","$0.7636 hourly","$0.3636 hourly","$1.5800 hourly","$1.1316 hourly"
"C6A Eight Extra Large","c6a.8xlarge","64.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","$1.2240 hourly","$0.8097 hourly","$0.7921 hourly","$2.6960 hourly","$2.2817 hourly"
"C6GD Eight Extra Large","c6gd.8xlarge","64.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","12 Gigabit","$1.2288 hourly","$0.7741 hourly","$0.9900 hourly","unavailable","unavailable"
"M6G Eight Extra Large","m6g.8xlarge","128.0 GiB","32 vCPUs","EBS only","12 Gigabit","$1.2320 hourly","$0.7728 hourly","$0.6094 hourly","unavailable","unavailable"
"C5A Eight Extra Large","c5a.8xlarge","64.0 GiB","32 vCPUs","EBS only","10 Gigabit","$1.2320 hourly","$0.7760 hourly","$1.0029 hourly","$2.7040 hourly","$2.2480 hourly"
"I4G Quadruple Extra Large","i4g.4xlarge","128.0 GiB","16 vCPUs","3750 GB                 NVMe SSD","Up to 25 Gigabit","$1.2355 hourly","$0.8018 hourly","$0.5147 hourly","unavailable","unavailable"
"I3 High I/O Quadruple Extra Large","i3.4xlarge","122.0 GiB","16 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","Up to 10 Gigabit","$1.2480 hourly","$0.8570 hourly","$0.4900 hourly","$1.9840 hourly","$1.5930 hourly"
"M6IDN Quadruple Extra Large","m6idn.4xlarge","64.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 50 Gigabit","$1.2730 hourly","$0.8020 hourly","$0.5183 hourly","$2.0090 hourly","$1.5380 hourly"
"VT1 6xlarge","vt1.6xlarge","48.0 GiB","24 vCPUs","EBS only","6.25 Gigabit","$1.3000 hourly","$0.8190 hourly","$0.8995 hourly","unavailable","unavailable"
"M7G Eight Extra Large","m7g.8xlarge","128.0 GiB","32 vCPUs","EBS only","15 Gigabit","$1.3056 hourly","$0.8637 hourly","$1.1191 hourly","unavailable","unavailable"
"R3 High-Memory Quadruple Extra Large","r3.4xlarge","122.0 GiB","16 vCPUs","320 GB                 SSD","High","$1.3300 hourly","$0.8360 hourly","$0.4901 hourly","$1.9440 hourly","$1.4900 hourly"
"R5DN Quadruple Extra Large","r5dn.4xlarge","128.0 GiB","16 vCPUs","600 GB                 (2 * 300 GB NVMe SSD)","Up to 25 Gigabit","$1.3360 hourly","$0.8420 hourly","$0.5036 hourly","$2.0720 hourly","$1.5780 hourly"
"X2GD Quadruple Extra Large","x2gd.4xlarge","256.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 10 Gigabit","$1.3360 hourly","$0.8233 hourly","$0.6101 hourly","unavailable","unavailable"
"TRN1 Double Extra Large","trn1.2xlarge","32.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 12.5 Gigabit","$1.3438 hourly","$0.8268 hourly","$0.4031 hourly","unavailable","unavailable"
"I3EN 3xlarge","i3en.3xlarge","96.0 GiB","12 vCPUs","7500 GB                 NVMe SSD","Up to 25 Gigabit","$1.3560 hourly","$0.9240 hourly","$0.4068 hourly","$1.9080 hourly","$1.4760 hourly"
"C6I Eight Extra Large","c6i.8xlarge","64.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","$1.3600 hourly","$0.8996 hourly","$0.5441 hourly","$2.8320 hourly","$2.3716 hourly"
"G5G Eight Extra Large","g5g.8xlarge","64.0 GiB","32 vCPUs","EBS only","12 Gigabit","$1.3720 hourly","$0.8644 hourly","$1.1978 hourly","unavailable","unavailable"
"I4I Quadruple Extra Large","i4i.4xlarge","128.0 GiB","16 vCPUs","3750 GB                 NVMe SSD","Up to 25 Gigabit","$1.3730 hourly","$0.8910 hourly","$0.4737 hourly","$2.1090 hourly","$1.6270 hourly"
"M5A Eight Extra Large","m5a.8xlarge","128.0 GiB","32 vCPUs","EBS only","Up to 10 Gigabit","$1.3760 hourly","$0.8670 hourly","$1.0212 hourly","$2.8480 hourly","$2.3390 hourly"
"C5AD Eight Extra Large","c5ad.8xlarge","64.0 GiB","32 vCPUs","1200 GB                 (2 * 600 GB NVMe SSD)","10 Gigabit","$1.3760 hourly","$0.8670 hourly","$1.0255 hourly","$2.8480 hourly","$2.3390 hourly"
"D2 Double Extra Large","d2.2xlarge","61.0 GiB","8 vCPUs","12288 GB                 (6 * 2048 GB HDD)","High","$1.3800 hourly","$0.8040 hourly","$0.4140 hourly","$1.6010 hourly","$0.8850 hourly"
"C6GN Eight Extra Large","c6gn.8xlarge","64.0 GiB","32 vCPUs","EBS only","50 Gigabit","$1.3824 hourly","$0.8725 hourly","$1.1012 hourly","unavailable","unavailable"
"M6A Eight Extra Large","m6a.8xlarge","128.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","$1.3824 hourly","$0.9145 hourly","$0.7831 hourly","$2.8544 hourly","$2.3865 hourly"
"R6IN Quadruple Extra Large","r6in.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 50 Gigabit","$1.3946 hourly","$0.8786 hourly","$0.5135 hourly","$2.1306 hourly","$1.6146 hourly"
"M6GD Eight Extra Large","m6gd.8xlarge","128.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","12 Gigabit","$1.4464 hourly","$0.9112 hourly","$1.0025 hourly","unavailable","unavailable"
"C7GD Eight Extra Large","c7gd.8xlarge","64.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","15 Gigabit","$1.4515 hourly","$0.9148 hourly","$1.0360 hourly","unavailable","unavailable"
"IM4GN Quadruple Extra Large","im4gn.4xlarge","64.0 GiB","16 vCPUs","7500 GB                 NVMe SSD","25 Gigabit","$1.4552 hourly","$0.9332 hourly","$0.4698 hourly","unavailable","unavailable"
"C5 High-CPU 9xlarge","c5.9xlarge","72.0 GiB","36 vCPUs","EBS only","12 Gigabit","$1.5300 hourly","$0.9640 hourly","$0.6238 hourly","$3.1860 hourly","$2.6200 hourly"
"M7I-FLEX Eight Extra Large","m7i-flex.8xlarge","128.0 GiB","32 vCPUs","EBS only","Up to 12.5 Gigabit","$1.5322 hourly","$1.0135 hourly","$1.0418 hourly","$2.9306 hourly","$2.4119 hourly"
"M6I Eight Extra Large","m6i.8xlarge","128.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","$1.5360 hourly","$1.0161 hourly","$0.8372 hourly","$3.0080 hourly","$2.4881 hourly"
"M5 General Purpose Eight Extra Large","m5.8xlarge","128.0 GiB","32 vCPUs","EBS only","10 Gigabit","$1.5360 hourly","$0.9680 hourly","$0.6910 hourly","$3.0080 hourly","$2.4400 hourly"
"R6IDN Quadruple Extra Large","r6idn.4xlarge","128.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 50 Gigabit","$1.5631 hourly","$0.9848 hourly","$0.5170 hourly","$2.2991 hourly","$1.7208 hourly"
"C4 High-CPU Eight Extra Large","c4.8xlarge","60.0 GiB","36 vCPUs","EBS only","10 Gigabit","$1.5910 hourly","$1.0080 hourly","$0.9144 hourly","$3.0910 hourly","$2.6640 hourly"
"C6ID Eight Extra Large","c6id.8xlarge","64.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","12.5 Gigabit","$1.6128 hourly","$1.0164 hourly","$1.0337 hourly","$3.0848 hourly","$2.4884 hourly"
"M7I Eight Extra Large","m7i.8xlarge","128.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","$1.6128 hourly","$1.0669 hourly","$1.0317 hourly","$3.0848 hourly","$2.5389 hourly"
"R6G Eight Extra Large","r6g.8xlarge","256.0 GiB","32 vCPUs","EBS only","12 Gigabit","$1.6128 hourly","$1.0161 hourly","$0.5985 hourly","unavailable","unavailable"
"G5 Graphics and Machine Learning GPU Quadruple Extra Large","g5.4xlarge","64.0 GiB","16 vCPUs","600 GB                 NVMe SSD","Up to 25 Gigabit","$1.6240 hourly","$1.0231 hourly","$0.5815 hourly","$2.3600 hourly","$1.7591 hourly"
"C6G 12xlarge","c6g.12xlarge","96.0 GiB","48 vCPUs","EBS only","20 Gigabit","$1.6320 hourly","$1.0282 hourly","$1.4180 hourly","unavailable","unavailable"
"M5AD Eight Extra Large","m5ad.8xlarge","128.0 GiB","32 vCPUs","1200 GB                 (2 * 600 GB NVMe SSD)","Up to 10 Gigabit","$1.6480 hourly","$1.0380 hourly","$1.0359 hourly","$3.1200 hourly","$2.5100 hourly"
"F1 Double Extra Large","f1.2xlarge","122.0 GiB","8 vCPUs","470 GB                 NVMe SSD","Up to 10 Gigabit","$1.6500 hourly","$1.1160 hourly","$0.4950 hourly","unavailable","unavailable"
"X2IEDN Double Extra Large","x2iedn.2xlarge","256.0 GiB","8 vCPUs","237 GB                 NVMe SSD","Up to 25 Gigabit","$1.6672 hourly","$1.0259 hourly","$0.5002 hourly","$2.0353 hourly","$1.3939 hourly"
"X2IEZN Double Extra Large","x2iezn.2xlarge","256.0 GiB","8 vCPUs","EBS only","Up to 25 Gigabit","$1.6680 hourly","$1.0269 hourly","$0.5004 hourly","$2.0360 hourly","$1.3949 hourly"
"X1E Double Extra Large","x1e.2xlarge","244.0 GiB","8 vCPUs","240 GB                 SSD","Up to 10 Gigabit","$1.6680 hourly","$1.0280 hourly","$0.5004 hourly","$2.0360 hourly","$1.3960 hourly"
"C3 High-CPU Eight Extra Large","c3.8xlarge","60.0 GiB","32 vCPUs","640 GB                 (2 * 320 GB SSD)","10 Gigabit","$1.6800 hourly","$1.1680 hourly","$1.0287 hourly","$3.0080 hourly","$2.6310 hourly"
"HPC7G Eight Extra Large","hpc7g.8xlarge","128.0 GiB","32 vCPUs","EBS only","200 Gigabit","$1.6832 hourly","$1.3255 hourly","unavailable","unavailable","unavailable"
"HPC7G 16xlarge","hpc7g.16xlarge","128.0 GiB","64 vCPUs","EBS only","200 Gigabit","$1.6832 hourly","$1.3255 hourly","unavailable","unavailable","unavailable"
"HPC7G Quadruple Extra Large","hpc7g.4xlarge","128.0 GiB","16 vCPUs","EBS only","200 Gigabit","$1.6832 hourly","$1.3255 hourly","unavailable","unavailable","unavailable"
"I2 Double Extra Large","i2.2xlarge","61.0 GiB","8 vCPUs","1600 GB                 (2 * 800 GB SSD)","High","$1.7050 hourly","$0.8480 hourly","$0.5115 hourly","$1.9460 hourly","$1.1310 hourly"
"M7GD Eight Extra Large","m7gd.8xlarge","128.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","15 Gigabit","$1.7086 hourly","$1.0764 hourly","$1.0285 hourly","unavailable","unavailable"
"R7G Eight Extra Large","r7g.8xlarge","256.0 GiB","32 vCPUs","EBS only","15 Gigabit","$1.7136 hourly","$1.1335 hourly","$1.0140 hourly","unavailable","unavailable"
"C5 High-CPU 9xlarge","c5d.9xlarge","72.0 GiB","36 vCPUs","900 GB                 NVMe SSD","12 Gigabit","$1.7280 hourly","$1.0890 hourly","$0.6069 hourly","$3.3840 hourly","$2.7450 hourly"
"G4AD Eight Extra Large","g4ad.8xlarge","128.0 GiB","32 vCPUs","1200 GB                 NVMe SSD","15 Gigabit","$1.7340 hourly","$1.0924 hourly","$1.0991 hourly","$3.2060 hourly","$2.5644 hourly"
"C7G 12xlarge","c7g.12xlarge","96.0 GiB","48 vCPUs","EBS only","22.5 Gigabit","$1.7400 hourly","$1.1466 hourly","$1.6480 hourly","unavailable","unavailable"
"R5A Eight Extra Large","r5a.8xlarge","256.0 GiB","32 vCPUs","EBS only","Up to 10 Gigabit","$1.8080 hourly","$1.1390 hourly","$1.0194 hourly","$3.2800 hourly","$2.6110 hourly"
"M5 General Purpose Eight Extra Large","m5d.8xlarge","128.0 GiB","32 vCPUs","1200 GB                 (2 * 600 GB NVMe SSD)","10 Gigabit","$1.8080 hourly","$1.1390 hourly","$0.9733 hourly","$3.2800 hourly","$2.6110 hourly"
"R6A Eight Extra Large","r6a.8xlarge","256.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","$1.8144 hourly","$1.2002 hourly","$0.9939 hourly","$3.2864 hourly","$2.6722 hourly"
"C6IN Eight Extra Large","c6in.8xlarge","64.0 GiB","32 vCPUs","EBS only","50 Gigabit","$1.8144 hourly","$1.1431 hourly","$1.0370 hourly","$3.2864 hourly","$2.6151 hourly"
"C6A 12xlarge","c6a.12xlarge","96.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","$1.8360 hourly","$1.2145 hourly","$1.3289 hourly","$4.0440 hourly","$3.4225 hourly"
"C6GD 12xlarge","c6gd.12xlarge","96.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","20 Gigabit","$1.8432 hourly","$1.1612 hourly","$1.6214 hourly","unavailable","unavailable"
"R6GD Eight Extra Large","r6gd.8xlarge","256.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","12 Gigabit","$1.8432 hourly","$1.1612 hourly","$0.7205 hourly","unavailable","unavailable"
"C5A 12xlarge","c5a.12xlarge","96.0 GiB","48 vCPUs","EBS only","12 Gigabit","$1.8480 hourly","$1.1640 hourly","$1.5210 hourly","$4.0560 hourly","$3.3720 hourly"
"M6G 12xlarge","m6g.12xlarge","192.0 GiB","48 vCPUs","EBS only","20 Gigabit","$1.8480 hourly","$1.1592 hourly","$1.1792 hourly","unavailable","unavailable"
"M7A Eight Extra Large","m7a.8xlarge","128.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","$1.8547 hourly","$1.2269 hourly","$1.0385 hourly","$3.3267 hourly","$2.6989 hourly"
"H1 Eight Extra Large","h1.8xlarge","128.0 GiB","32 vCPUs","8000 GB                 (4 * 2000 GB HDD)","10 Gigabit","$1.8720 hourly","$1.2720 hourly","$1.2154 hourly","$3.3440 hourly","$2.7440 hourly"
"M6ID Eight Extra Large","m6id.8xlarge","128.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","12.5 Gigabit","$1.8984 hourly","$1.1960 hourly","$1.0366 hourly","$3.3704 hourly","$2.6680 hourly"
"M5N Eight Extra Large","m5n.8xlarge","128.0 GiB","32 vCPUs","EBS only","25 Gigabit","$1.9040 hourly","$1.2000 hourly","$1.0102 hourly","$3.3760 hourly","$2.6720 hourly"
"C5N 9xlarge","c5n.9xlarge","96.0 GiB","36 vCPUs","EBS only","50 Gigabit","$1.9440 hourly","$1.2250 hourly","$1.1526 hourly","$3.6000 hourly","$2.8810 hourly"
"M7G 12xlarge","m7g.12xlarge","192.0 GiB","48 vCPUs","EBS only","22.5 Gigabit","$1.9584 hourly","$1.2955 hourly","$1.6887 hourly","unavailable","unavailable"
"INF2 Eight Extra Large","inf2.8xlarge","128.0 GiB","32 vCPUs","EBS only","Up to 25 Gigabit","$1.9679 hourly","$1.2397 hourly","$1.1809 hourly","unavailable","unavailable"
"M5ZN 6xlarge","m5zn.6xlarge","96.0 GiB","24 vCPUs","EBS only","50 Gigabit","$1.9820 hourly","$1.2487 hourly","$0.7747 hourly","$3.0860 hourly","$2.3527 hourly"
"C7GN Eight Extra Large","c7gn.8xlarge","64.0 GiB","32 vCPUs","EBS only","100 Gigabit","$1.9968 hourly","$1.2580 hourly","$1.1210 hourly","unavailable","unavailable"
"D3 Quadruple Extra Large","d3.4xlarge","128.0 GiB","16 vCPUs","23760 GB                 (12 * 1980 GB NVMe HDD)","Up to 15 Gigabit","$1.9980 hourly","$1.2590 hourly","$0.5994 hourly","$2.7340 hourly","$1.9950 hourly"
"M4 General Purpose Deca Extra Large","m4.10xlarge","160.0 GiB","40 vCPUs","EBS only","10 Gigabit","$2.0000 hourly","$1.2390 hourly","$1.3053 hourly","$3.8400 hourly","$3.0790 hourly"
"R5 Eight Extra Large","r5.8xlarge","256.0 GiB","32 vCPUs","EBS only","10 Gigabit","$2.0160 hourly","$1.2700 hourly","$0.6855 hourly","$3.4880 hourly","$2.7420 hourly"
"R6I Eight Extra Large","r6i.8xlarge","256.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","$2.0160 hourly","$1.3336 hourly","$0.9582 hourly","$3.4880 hourly","$2.8056 hourly"
"C5 High-CPU 12xlarge","c5.12xlarge","96.0 GiB","48 vCPUs","EBS only","12 Gigabit","$2.0400 hourly","$1.2850 hourly","$1.3469 hourly","$4.2480 hourly","$3.4930 hourly"
"C6I 12xlarge","c6i.12xlarge","96.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","$2.0400 hourly","$1.3495 hourly","$1.3745 hourly","$4.2480 hourly","$3.5575 hourly"
"M5A 12xlarge","m5a.12xlarge","192.0 GiB","48 vCPUs","EBS only","10 Gigabit","$2.0640 hourly","$1.3000 hourly","$1.5663 hourly","$4.2720 hourly","$3.5080 hourly"
"C5AD 12xlarge","c5ad.12xlarge","96.0 GiB","48 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","12 Gigabit","$2.0640 hourly","$1.3000 hourly","$1.5277 hourly","$4.2720 hourly","$3.5080 hourly"
"C6GN 12xlarge","c6gn.12xlarge","96.0 GiB","48 vCPUs","EBS only","75 Gigabit","$2.0736 hourly","$1.3088 hourly","$1.6870 hourly","unavailable","unavailable"
"M6A 12xlarge","m6a.12xlarge","192.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","$2.0736 hourly","$1.3717 hourly","$1.4148 hourly","$4.2816 hourly","$3.5797 hourly"
"R5AD Eight Extra Large","r5ad.8xlarge","256.0 GiB","32 vCPUs","1200 GB                 (2 * 600 GB NVMe SSD)","Up to 10 Gigabit","$2.0960 hourly","$1.3200 hourly","$1.0425 hourly","$3.5680 hourly","$2.7920 hourly"
"D3EN Quadruple Extra Large","d3en.4xlarge","64.0 GiB","16 vCPUs","111840 GB                 (8 * 13980 GB NVMe HDD)","25 Gigabit","$2.1030 hourly","$1.3250 hourly","$0.6309 hourly","$2.8390 hourly","$2.0610 hourly"
"R4 High-Memory Eight Extra Large","r4.8xlarge","244.0 GiB","32 vCPUs","EBS only","10 Gigabit","$2.1280 hourly","$1.3440 hourly","$0.8537 hourly","$3.6000 hourly","$2.8160 hourly"
"M6GD 12xlarge","m6gd.12xlarge","192.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","20 Gigabit","$2.1696 hourly","$1.3668 hourly","$1.6038 hourly","unavailable","unavailable"
"G4DN Eight Extra Large","g4dn.8xlarge","128.0 GiB","32 vCPUs","900 GB                 NVMe SSD","50 Gigabit","$2.1760 hourly","$1.3710 hourly","$1.2012 hourly","$3.6480 hourly","$2.8430 hourly"
"C6G 16xlarge","c6g.16xlarge","128.0 GiB","64 vCPUs","EBS only","25 Gigabit","$2.1760 hourly","$1.3709 hourly","$1.0882 hourly","unavailable","unavailable"
"M5DN Eight Extra Large","m5dn.8xlarge","128.0 GiB","32 vCPUs","1200 GB                 (2 * 600 GB NVMe SSD)","25 Gigabit","$2.1760 hourly","$1.3710 hourly","$1.0406 hourly","$3.6480 hourly","$2.8430 hourly"
"C6G Metal","c6g.metal","128.0 GiB","64 vCPUs","EBS only","25 Gigabit","$2.1760 hourly","$1.3709 hourly","$2.1760 hourly","unavailable","unavailable"
"R7GD Eight Extra Large","r7gd.8xlarge","256.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","15 Gigabit","$2.1773 hourly","$1.3684 hourly","$1.0289 hourly","unavailable","unavailable"
"C7GD 12xlarge","c7gd.12xlarge","96.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","22.5 Gigabit","$2.1773 hourly","$1.3721 hourly","$1.5496 hourly","unavailable","unavailable"
"M6IN Eight Extra Large","m6in.8xlarge","128.0 GiB","32 vCPUs","EBS only","50 Gigabit","$2.2277 hourly","$1.4034 hourly","$1.0409 hourly","$3.6997 hourly","$2.8754 hourly"
"Z1D 6xlarge","z1d.6xlarge","192.0 GiB","24 vCPUs","900 GB                 NVMe SSD","12 Gigabit","$2.2320 hourly","$1.4060 hourly","$0.8302 hourly","$3.3360 hourly","$2.5100 hourly"
"G3 Graphics GPU Eight Extra Large","g3.8xlarge","244.0 GiB","32 vCPUs","EBS only","10 Gigabit","$2.2800 hourly","$1.5561 hourly","$1.1647 hourly","$3.7520 hourly","$3.0281 hourly"
"M5 General Purpose 12xlarge","m5.12xlarge","192.0 GiB","48 vCPUs","EBS only","12 Gigabit","$2.3040 hourly","$1.4520 hourly","$1.2697 hourly","$4.5120 hourly","$3.6600 hourly"
"R5D Eight Extra Large","r5d.8xlarge","256.0 GiB","32 vCPUs","1200 GB                 (2 * 600 GB NVMe SSD)","10 Gigabit","$2.3040 hourly","$1.4520 hourly","$0.9162 hourly","$3.7760 hourly","$2.9240 hourly"
"C5 High-CPU 12xlarge","c5d.12xlarge","96.0 GiB","48 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","12 Gigabit","$2.3040 hourly","$1.4520 hourly","$1.4246 hourly","$4.5120 hourly","$3.6600 hourly"
"M6I 12xlarge","m6i.12xlarge","192.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","$2.3040 hourly","$1.5241 hourly","$1.3601 hourly","$4.5120 hourly","$3.7321 hourly"
"IS4GEN Quadruple Extra Large","is4gen.4xlarge","96.0 GiB","16 vCPUs","15000 GB                 (2 * 7500 GB NVMe SSD)","25 Gigabit","$2.3052 hourly","$1.5722 hourly","$0.6916 hourly","unavailable","unavailable"
"C7G 16xlarge","c7g.16xlarge","128.0 GiB","64 vCPUs","EBS only","30 Gigabit","$2.3200 hourly","$1.5288 hourly","$1.7424 hourly","unavailable","unavailable"
"C7G Metal","c7g.metal","128.0 GiB","64 vCPUs","EBS only","30 Gigabit","$2.3200 hourly","$1.5288 hourly","$2.1707 hourly","unavailable","unavailable"
"R5N Eight Extra Large","r5n.8xlarge","256.0 GiB","32 vCPUs","EBS only","25 Gigabit","$2.3840 hourly","$1.5020 hourly","$0.9032 hourly","$3.8560 hourly","$2.9740 hourly"
"R5B Eight Extra Large","r5b.8xlarge","256.0 GiB","32 vCPUs","EBS only","10 Gigabit","$2.3840 hourly","$1.5019 hourly","$1.0361 hourly","$3.8560 hourly","$2.9739 hourly"
"R6G 12xlarge","r6g.12xlarge","384.0 GiB","48 vCPUs","EBS only","20 Gigabit","$2.4192 hourly","$1.5241 hourly","$1.3444 hourly","unavailable","unavailable"
"R6ID Eight Extra Large","r6id.8xlarge","256.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","12.5 Gigabit","$2.4192 hourly","$1.5204 hourly","$1.0060 hourly","$3.8912 hourly","$2.9924 hourly"
"M7I 12xlarge","m7i.12xlarge","192.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","$2.4192 hourly","$1.6003 hourly","$1.5591 hourly","$4.6272 hourly","$3.8083 hourly"
