"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"T3 Small","t3.small","2.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$0.0208 hourly","$0.0130 hourly","$0.0152 hourly","$0.0392 hourly","$0.0314 hourly"
"T2 Small","t2.small","2.0 GiB","1 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Low to Moderate","$0.0230 hourly","$0.0144 hourly","$0.0156 hourly","$0.0320 hourly","$0.0236 hourly"
"A1 Medium","a1.medium","2.0 GiB","1 vCPUs","EBS only","Up to 10 Gigabit","$0.0255 hourly","$0.0161 hourly","$0.0255 hourly","unavailable","unavailable"
"T4G Medium","t4g.medium","4.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$0.0336 hourly","$0.0211 hourly","$0.0336 hourly","unavailable","unavailable"
"C6G Medium","c6g.medium","2.0 GiB","1 vCPUs","EBS only","Up to 10 Gigabit","$0.0340 hourly","$0.0214 hourly","$0.0340 hourly","unavailable","unavailable"
"C7G Medium","c7g.medium","2.0 GiB","1 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0363 hourly","$0.0239 hourly","$0.0351 hourly","unavailable","unavailable"
"T3A Medium","t3a.medium","4.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$0.0376 hourly","$0.0236 hourly","$0.0323 hourly","$0.0560 hourly","$0.0420 hourly"
"C6GD Medium","c6gd.medium","2.0 GiB","1 vCPUs","59 GB                 NVMe SSD","Up to 10 Gigabit","$0.0384 hourly","$0.0242 hourly","$0.0350 hourly","unavailable","unavailable"
"M6G Medium","m6g.medium","4.0 GiB","1 vCPUs","EBS only","Up to 10 Gigabit","$0.0385 hourly","$0.0241 hourly","$0.0350 hourly","unavailable","unavailable"
"M7G Medium","m7g.medium","4.0 GiB","1 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0408 hourly","$0.0270 hourly","$0.0352 hourly","unavailable","unavailable"
"T3 Medium","t3.medium","4.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$0.0416 hourly","$0.0261 hourly","$0.0137 hourly","$0.0600 hourly","$0.0445 hourly"
"C6GN Medium","c6gn.medium","2.0 GiB","1 vCPUs","EBS only","Up to 16 Gigabit","$0.0432 hourly","$0.0273 hourly","$0.0352 hourly","unavailable","unavailable"
"M1 General Purpose Small","m1.small","1.7 GiB","1 vCPUs","160 GB                 HDD","Low","$0.0440 hourly","$0.0280 hourly","$0.0092 hourly","$0.0750 hourly","$0.0570 hourly"
"M6GD Medium","m6gd.medium","4.0 GiB","1 vCPUs","59 GB                 NVMe SSD","Up to 10 Gigabit","$0.0452 hourly","$0.0285 hourly","$0.0351 hourly","unavailable","unavailable"
"C7GD Medium","c7gd.medium","2.0 GiB","1 vCPUs","59 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.0454 hourly","$0.0286 hourly","$0.0327 hourly","unavailable","unavailable"
"T2 Medium","t2.medium","4.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Low to Moderate","$0.0464 hourly","$0.0287 hourly","$0.0312 hourly","$0.0644 hourly","$0.0467 hourly"
"R6G Medium","r6g.medium","8.0 GiB","1 vCPUs","EBS only","Up to 10 Gigabit","$0.0504 hourly","$0.0318 hourly","$0.0351 hourly","unavailable","unavailable"
"A1 Large","a1.large","4.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.0510 hourly","$0.0321 hourly","$0.0510 hourly","unavailable","unavailable"
"M7GD Medium","m7gd.medium","4.0 GiB","1 vCPUs","59 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.0534 hourly","$0.0336 hourly","$0.0323 hourly","unavailable","unavailable"
"R7G Medium","r7g.medium","8.0 GiB","1 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0536 hourly","$0.0354 hourly","$0.0350 hourly","unavailable","unavailable"
"R6GD Medium","r6gd.medium","8.0 GiB","1 vCPUs","59 GB                 NVMe SSD","Up to 10 Gigabit","$0.0576 hourly","$0.0363 hourly","$0.0351 hourly","unavailable","unavailable"
"M7A Medium","m7a.medium","4.0 GiB","1 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0580 hourly","$0.0383 hourly","$0.0323 hourly","$0.1040 hourly","$0.0843 hourly"
"C7GN Medium","c7gn.medium","2.0 GiB","1 vCPUs","EBS only","Up to 25 Gigabit","$0.0624 hourly","$0.0393 hourly","$0.0351 hourly","unavailable","unavailable"
"M3 General Purpose Medium","m3.medium","3.75 GiB","1 vCPUs","4 GB                 SSD","Moderate","$0.0670 hourly","$0.0480 hourly","$0.0316 hourly","$0.1300 hourly","$0.1000 hourly"
